model,status,accuracy,precision_macro,recall_macro,macro_f1,weighted_f1,notes
TF-IDF + Logistic Regression,run,0.8357270366764038,0.4985458407363122,0.6346660350019154,0.5348362984892098,0.867470833589618,
TF-IDF + Linear SVM,run,0.8948799091204155,0.5423839278526428,0.5633714681546458,0.5520843113959019,0.8987123762386007,
TF-IDF + Random Forest,run,0.8683868873742292,0.4999471208215161,0.5270597714818254,0.5108982270115229,0.8773899865386299,
TF-IDF + Multinomial Naive Bayes,run,0.9143135345666992,0.5806228198678255,0.3686778209563546,0.38048326674300464,0.8783774051165503,
