label,precision,recall,f1_score,support
Improvement Suggestions,0.5491228070175439,0.7728395061728395,0.642051282051282,405.0
Questions and Answers,0.16216216216216217,0.1875,0.17391304347826086,32.0
Experience Sharing,0.7904869762174406,0.801377726750861,0.7958950969213227,871.0
Technical Feedback,0.48,0.631578947368421,0.5454545454545454,152.0
Support Request,0.34210526315789475,0.45614035087719296,0.39097744360902253,57.0
Community Interaction,0.6381578947368421,0.7348484848484849,0.6830985915492958,132.0
Course Comparison,0.28888888888888886,0.26,0.2736842105263158,50.0
Related Course Suggestions,0.2537313432835821,0.2361111111111111,0.2446043165467626,72.0
not_praise,0.7321156773211568,0.7671451355661882,0.7492211838006231,627.0
